id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors,id_dup,name_dup
867000,Swarovski Group,Homepage - Swarovski Group,,,4,"Switzerland, Männedorf, Alte Landstrasse, 411",Alte Landstrasse,411,8708,Switzerland,Männedorf,,True,
867000,Swarovski Group,Homepage - Swarovski Group,,,4,"Switzerland, Männedorf, Alte Landstrasse, 411",Alte Landstrasse,411,8708,Switzerland,Männedorf,,True,
1221190,2nate,Crowdfunding platform which helps people to raise fund for their projects which have social impacts,Fintech,,3,"Iran, Tehran",,,,Iran,Tehran,"Crowdfunding,platform,Social",,True
1457278,2nate,دونیت | جذب حمایت مالی,Fintech,,2,"Iran, Tehran",,,,Iran,Tehran,"Crowdfunding,platform,SaaS",,True
1363121,3Cinteractive,Enhancing the Customer Experience Through Mobile Marketing Services,Marketing,,4,"United States, Boca Raton",,,,United States,Boca Raton,"branding,Messaging,Automated Technology",,True
2405528,3Cinteractive,3C | Mobile Marketing Solutions & Services,Enterprise Software,Marketing,2,"Boca Raton, FL, United States",,,33432,United States,Boca Raton,,,True
2910142,500.com,500Ʊ_Ʊѯ__רҷ_ʱȷֱƽ̨,,,4,"Longgang, Shenzhen, China, 518115",,,518115,China,Shenzhen,,,True
134036,500.com,500Ʊ(500.com)-Ʊ--Ʊ-Ʊ--Ʊ,,,2,"United States, Wauchula, Maurice 'Sonny' Clavel Road, 1202",Maurice 'Sonny' Clavel Road,1202,33873,United States,Wauchula,,,True
2029091,5000fish,"5000fish, Inc. - Technology You Can Believe In",,,2,"Henderson, NV, United States",,,89015,United States,Henderson,,,True
130196,5000fish,"Our software enables companies to improve their business processes by leveraging their existing data.  We're the team behind @Yurbi, FlowDot, and MailSync.",Enterprise Software,,2,"United States, Henderson",,,,United States,Henderson,"team collaboration,Analytics",,True
1576077,5xRuby,"Promotes Ruby to more companies and developers through education, training, corporate training and other courses",Education,,2,"Taiwan, Taipei City",,,110,Taiwan,Taipei City,community,,True
1452337,5xRuby,Professional programming education institution  Online course,Education,,2,"No. 7, Hengyang Road, Zhongzheng District, Taipei City, Taiwan 100",Hengyang Road,7,100,Taiwan,Taipei City,"E-Learning,online courses,coding",,True
1248448,8200 EISP,8200 EISP - Home,,,3,"Israel, Tel Aviv-Yafo",,,,Israel,Tel Aviv-Yafo,,,True
128322,8200 EISP,8200 EISP - Home,Event Tech,,2,"United States, Urbana, West Illinois Street, 918",West Illinois Street,918,61801,United States,Urbana,,,True
